# Performance Metrics for alpha064
# CAGR: -0.632836
# SharpeRatio: -0.969385
# SortinoRatio: -0.004204
# IC: 0.006037
# WinRate: 0.574468
# MDD: -0.120394
# Skewness: -0.648810
# Kurtosis: 4.942974
# Turnover: 2.000000
# TotalReturn: -0.170449
# Volatility: 0.590943
# TotalDays: 47
#
Date,LongReturn,LongCount,FactorReturn,LongReturn_Net,CumulativeReturn,RollingSharpe,RollingVolatility,RollingCAGR,RollingWinRate,RollingMDD
2008-10-24,-0.14309176564414042,57,-0.14309176564414042,-0.14409176564414042,-0.1440917656441404,,,,,
2008-11-07,-0.04390847535315798,63,-0.04390847535315798,-0.04490847535315798,-0.1825292994912755,,,,,
2009-04-09,0.01887483173042942,51,0.01887483173042942,0.01787483173042942,-0.16791714827512583,,,,,
2009-04-17,0.014090630206843108,40,0.014090630206843108,0.013090630206843108,-0.15702465936173993,,,,,
2009-11-13,0.003899046671306865,61,0.003899046671306865,0.002899046671306865,-0.15458083450646887,,,,,
2010-06-04,0.0016034837128218052,60,0.0016034837128218052,0.0006034837128218052,-0.1540706378095862,,,,,
2010-06-18,0.020095608222508162,40,0.020095608222508162,0.01909560822250816,-0.13791710212528174,,,,,
2010-07-30,-0.012829597721691014,41,-0.012829597721691014,-0.013829597721691015,-0.14983936180563873,,,,,
2011-08-19,-0.05936735240131288,27,-0.05936735240131288,-0.06036735240131288,-0.20116130864924275,,,,,
2011-09-02,-0.03338303991932818,53,-0.03338303991932818,-0.03438303991932818,-0.22862781126305975,,,,,
2011-10-14,0.034498641632576175,69,0.034498641632576175,0.033498641632576175,-0.20278789074722503,,,,,
2011-10-28,0.027412037961918618,56,0.027412037961918618,0.026412037961918617,-0.18173189425393954,,,,,
2014-02-14,0.021005769936718315,76,0.021005769936718315,0.020005769936718314,-0.1653618107838296,,,,,
2014-12-26,0.004782206845856122,83,0.004782206845856122,0.003782206845856122,-0.16220503651076323,,,,,
2015-10-09,0.007223846483288943,84,0.007223846483288943,0.006223846483288943,-0.15699072927353364,,,,,
2016-02-05,-0.031650731451800716,73,-0.031650731451800716,-0.03265073145180072,-0.18451559858340194,,,,,
2017-05-26,0.007182000809932427,83,0.007182000809932427,0.006182000809932427,-0.1794742733533572,,,,,
2018-02-23,0.012554668192670884,76,0.012554668192670884,0.011554668192670883,-0.16999337083840516,,,,,
2018-03-02,0.0037340404266405745,64,0.0037340404266405745,0.0027340404266405745,-0.16772409915989772,,,,,
2018-07-13,0.006230688973373506,83,0.006230688973373506,0.005230688973373506,-0.16337072278256892,,,,,
2019-07-05,0.019807357538603784,67,0.019807357538603784,0.018807357538603783,-0.14763593683867693,,,,,
2019-08-23,-0.03190179868770248,77,-0.03190179868770248,-0.03290179868770248,-0.17568024765344292,,,,,
2020-04-03,-0.07909859402808257,30,-0.07909859402808257,-0.08009859402808257,-0.24170710084597935,,,,,
2020-04-09,0.11912298829869691,20,0.11912298829869691,0.11812298829869691,-0.152135277592224,,,,,
2020-04-17,0.05914988651938516,65,0.05914988651938516,0.05814988651938516,-0.1028320402004218,,,,,
2020-05-22,0.002618619199421116,58,0.002618619199421116,0.0016186191994211159,-0.10137986691558465,,,,,
2020-10-02,-0.009522419087714,87,-0.009522419087714,-0.010522419087714,-0.11083552455655621,,,,,
2021-02-12,0.0037746548655639375,90,0.0037746548655639375,0.0027746548655639375,-0.10836840001848058,,,,,
2021-05-21,-0.0018995663814066392,92,-0.0018995663814066392,-0.002899566381406639,-0.1109537450303868,,,,,
2021-12-10,0.02498142839250598,70,0.02498142839250598,0.023981428392505978,-0.08963314592920746,,,,,
2021-12-31,0.004860516019021861,87,0.004860516019021861,0.003860516019021861,-0.08611866010588054,,,,,
2022-03-25,0.013496362263551569,90,0.013496362263551569,0.01249636226355157,-0.07469846781666367,,,,,
2022-05-20,-0.014142063605974638,81,-0.014142063605974638,-0.01514206360597464,-0.08870944247168944,,,,,
2022-06-03,-0.0035532922746956885,71,-0.0035532922746956885,-0.0045532922746956885,-0.09285881472728619,,,,,
2022-07-01,-0.0314070492677316,32,-0.0314070492677316,-0.0324070492677316,-0.12225658381120752,,,,,
2022-08-05,0.006330077379108253,76,0.006330077379108253,0.005330077379108253,-0.11757814348391837,,,,,
2022-08-19,-0.024955105829948376,49,-0.024955105829948376,-0.025955105829948377,-0.14048149615645278,,,,,
2022-09-16,-0.04936122792258933,93,-0.04936122792258933,-0.05036122792258933,-0.18376790343220062,,,,,
2022-11-18,0.0269886040759495,60,0.0269886040759495,0.0259886040759495,-0.1625551706404178,,,,,
2023-04-06,-0.014985107946903404,88,-0.014985107946903404,-0.015985107946903405,-0.1759418166373069,,,,,
2023-05-05,-0.004837061045305608,78,-0.004837061045305608,-0.005837061045305608,-0.1807518945584785,,,,,
2023-11-10,-0.0012128555793543222,78,-0.0012128555793543222,-0.002212855579354322,-0.18256477229948032,,,,,
2024-08-23,0.012787254835991997,73,0.012787254835991997,0.011787254835991998,-0.17292945495865708,,,,,
2024-09-20,0.006438964066296548,78,0.006438964066296548,0.005438964066296548,-0.16843104798388486,,,,,
2025-01-24,-2.047628701491417e-05,82,-2.047628701491417e-05,-0.0010204762870149142,-0.1692796443804352,,,,,
2025-03-21,-0.011900521175890187,92,-0.011900521175890187,-0.012900521175890186,-0.17999636991934842,,,,,
2025-05-02,0.012642571463692269,85,0.012642571463692269,0.01164257146369227,-0.17044941905564737,,,,,
