# Performance Metrics for alpha021
# CAGR: 0.522291
# SharpeRatio: 1.551009
# SortinoRatio: 0.009157
# IC: -0.003533
# WinRate: 0.549020
# MDD: -0.180918
# Skewness: -0.338067
# Kurtosis: -0.173730
# Turnover: 2.000000
# TotalReturn: 0.088765
# Volatility: 0.519451
# TotalDays: 51
#
Date,LongReturn,LongCount,FactorReturn,LongReturn_Net,CumulativeReturn,RollingSharpe,RollingVolatility,RollingCAGR,RollingWinRate,RollingMDD
2001-09-21,-0.07912700619186967,40,-0.07912700619186967,-0.08012700619186967,-0.08012700619186963,,,,,
2002-03-08,0.013912292038407952,58,0.013912292038407952,0.012912292038407953,-0.06824933745757444,,,,,
2003-03-21,0.0393970451666975,50,0.0393970451666975,0.0383970451666975,-0.03247286518383263,,,,,
2003-09-05,-0.010163997005515023,50,-0.010163997005515023,-0.011163997005515024,-0.04327433521967494,,,,,
2004-10-08,-0.005428265794093842,30,-0.005428265794093842,-0.006428265794093842,-0.049424422084914044,,,,,
2006-01-06,0.024015124579005273,57,0.024015124579005273,0.023015124579005272,-0.027546806737438367,,,,,
2007-01-05,-0.008403042307313426,23,-0.008403042307313426,-0.009403042307313425,-0.03669082525556833,,,,,
2008-01-11,-0.00752946462237889,51,-0.00752946462237889,-0.00852946462237889,-0.04490733678196401,,,,,
2008-01-25,0.027002296999742926,30,0.027002296999742926,0.026002296999742925,-0.02007273369069329,,,,,
2008-09-12,-0.010717077279596966,65,-0.010717077279596966,-0.011717077279596966,-0.03155461719842356,,,,,
2008-09-19,0.04198266628062757,61,0.04198266628062757,0.04098266628062757,0.008134856735948048,,,,,
2009-01-09,-0.03643171715354833,40,-0.03643171715354833,-0.03743171715354833,-0.029601362074024862,,,,,
2011-01-21,-0.020029362275071672,63,-0.020029362275071672,-0.021029362275071673,-0.05000822658220627,,,,,
2011-07-08,0.009038824041819509,55,0.009038824041819509,0.00803882404181951,-0.04237140987452459,,,,,
2011-08-12,0.04453807545276023,3,0.04453807545276023,0.04353807545276023,-0.0006781040619211476,,,,,
2014-02-07,0.04115729698524366,51,0.04115729698524366,0.04015729698524366,0.03945196209712121,,,,,
2015-08-28,0.025133684227538432,10,0.025133684227538432,0.02413368422753843,0.06453776752006823,,,,,
2016-01-22,0.025166384875294715,78,0.025166384875294715,0.024166384875294714,0.09026379692424524,,,,,
2016-07-01,0.05712524923079754,56,0.05712524923079754,0.056125249230797536,0.15145512425393415,,,,,
2017-12-08,0.006278798883021702,79,0.006278798883021702,0.005278798883021702,0.15753342427769534,,,,,
2018-01-19,0.018987115091313463,84,0.018987115091313463,0.01798711509131346,0.17835411120222044,,,,,
2018-02-09,-0.01830862202422123,36,-0.01830862202422123,-0.01930862202422123,0.1556017170583297,,,,,
2018-12-07,-0.05027285162251701,72,-0.05027285162251701,-0.05127285162251701,0.09635072168487202,,,,,
2019-08-09,0.03447064164145036,62,0.03447064164145036,0.03347064164145036,0.13304628380373185,,,,,
2019-09-13,0.002812248440967342,84,0.002812248440967342,0.0018122484409673419,0.13509964516509898,,,,,
2020-01-24,-0.0059543931612284886,67,-0.0059543931612284886,-0.006954393161228489,0.12720571595545005,,,,,
2020-03-06,-0.03575378293531916,26,-0.03575378293531916,-0.03675378293531916,0.08577664174777233,,,,,
2020-03-13,-0.07272358209970523,29,-0.07272358209970523,-0.07372358209970523,0.005729298357938228,,,,,
2020-03-20,-0.03932962724631407,51,-0.03932962724631407,-0.04032962724631407,-0.034831389355534426,,,,,
2020-09-11,0.005923116942851826,66,0.005923116942851826,0.004923116942851826,-0.030079751415761913,,,,,
2020-11-13,0.014223392710678335,14,0.014223392710678335,0.013223392710678336,-0.017254115070693743,,,,,
2020-12-04,0.04088123283071215,75,0.04088123283071215,0.03988123283071215,0.02193900237959623,,,,,
2021-01-08,0.055510765522986574,91,0.055510765522986574,0.05451076552298657,0.07764567971710523,,,,,
2022-01-21,-0.04052603594073939,84,-0.04052603594073939,-0.04152603594073939,0.03289532648979021,,,,,
2022-01-28,0.058913101756468876,6,0.058913101756468876,0.057913101756468875,0.09271349863657452,,,,,
2022-03-04,-0.035957856883901164,84,-0.035957856883901164,-0.036957856883901165,0.052329149538857145,,,,,
2022-06-03,0.004419757291420033,17,0.004419757291420033,0.003419757291420033,0.055927859820966486,,,,,
2022-09-16,-0.045393516913499604,50,-0.045393516913499604,-0.046393516913499605,0.006939652796926987,,,,,
2023-01-13,0.02905199139216253,77,0.02905199139216253,0.02805199139216253,0.03518631526961369,,,,,
2023-03-17,1.479422212834158e-05,93,1.479422212834158e-05,-0.0009852057778716584,0.034166443730636376,,,,,
2023-04-06,-0.005115197110951393,81,-0.005115197110951393,-0.006115197110951393,0.027842312081691967,,,,,
2023-11-10,-0.0087729144796293,92,-0.0087729144796293,-0.009772914479629299,0.017797297067173146,,,,,
2023-12-08,-0.001347878422558528,77,-0.001347878422558528,-0.002347878422558528,0.015407632754850686,,,,,
2024-08-09,0.028724096012354445,78,0.028724096012354445,0.027724096012354444,0.04355889145702374,,,,,
2024-09-06,-0.020140656115946474,94,-0.020140656115946474,-0.021140656115946475,0.021497371795992537,,,,,
2024-11-29,0.00780074161861475,37,0.00780074161861475,0.00680074161861475,0.028444311485670948,,,,,
2025-01-24,0.005357800042411963,73,0.005357800042411963,0.004357800042411963,0.03292606614988158,,,,,
2025-01-31,-0.005684246665090441,90,-0.005684246665090441,-0.006684246665090441,0.026021733536934155,,,,,
2025-03-14,-0.013456480796852589,58,-0.013456480796852589,-0.014456480796852588,0.011189070048904126,,,,,
